[10/18 22:41:23] train_sl  23/10/18 22:41:20 INFO: CRAIG dataloader initialized. 
[10/18 22:49:44] train_sl  23/10/18 22:41:20 INFO: Epoch: 40 , Training Loss: 0.07071968383789062 , Training Accuracy: 0.5332666666666667 , Validation Loss: 0.07157064208984375 , Validation Accuracy: 0.5276 , Test Loss: 0.0752328369140625 , Test Accuracy: 0.531 , Best Accuracy: 0.531 , Timing: 350.93423199653625
[10/18 22:49:44] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 40, reading dataloader... 
[10/18 22:49:44] train_sl  23/10/18 22:41:20 INFO: Epoch: 40, requires subset selection. 
[10/18 22:50:59] train_sl  23/10/18 22:41:20 DEBUG: CRAIG strategy data selection time is: 75.0209
[10/18 22:50:59] train_sl  23/10/18 22:41:20 INFO: Epoch: 40, subset selection finished, takes 75.0525. 
[10/18 22:50:59] train_sl  23/10/18 22:41:20 DEBUG: Subset indices length: 4503
[10/18 22:50:59] train_sl  23/10/18 22:41:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/18 22:50:59] train_sl  23/10/18 22:41:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4503
[10/18 22:50:59] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 40, finished reading dataloader. 
[10/18 22:51:03] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 41, reading dataloader... 
[10/18 22:51:03] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 41, finished reading dataloader. 
[10/18 22:51:07] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 42, reading dataloader... 
[10/18 22:51:07] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 42, finished reading dataloader. 
[10/18 22:51:11] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 43, reading dataloader... 
[10/18 22:51:11] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 43, finished reading dataloader. 
[10/18 22:51:14] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 44, reading dataloader... 
[10/18 22:51:14] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 44, finished reading dataloader. 
[10/18 22:51:18] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 45, reading dataloader... 
[10/18 22:51:18] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 45, finished reading dataloader. 
[10/18 22:51:22] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 46, reading dataloader... 
[10/18 22:51:22] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 46, finished reading dataloader. 
[10/18 22:51:25] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 47, reading dataloader... 
[10/18 22:51:25] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 47, finished reading dataloader. 
[10/18 22:51:29] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 48, reading dataloader... 
[10/18 22:51:29] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 48, finished reading dataloader. 
[10/18 22:51:32] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 49, reading dataloader... 
[10/18 22:51:32] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 49, finished reading dataloader. 
[10/18 22:52:05] train_sl  23/10/18 22:41:20 INFO: Epoch: 50 , Training Loss: 0.057227271864149304 , Training Accuracy: 0.6099777777777777 , Validation Loss: 0.05764921264648438 , Validation Accuracy: 0.5994 , Test Loss: 0.059762982177734375 , Test Accuracy: 0.6033 , Best Accuracy: 0.6033 , Timing: 462.8780689239502
[10/18 22:52:05] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 50, reading dataloader... 
[10/18 22:52:05] train_sl  23/10/18 22:41:20 INFO: Epoch: 50, requires subset selection. 
[10/18 22:53:14] train_sl  23/10/18 22:41:20 DEBUG: CRAIG strategy data selection time is: 68.9112
[10/18 22:53:14] train_sl  23/10/18 22:41:20 INFO: Epoch: 50, subset selection finished, takes 68.9417. 
[10/18 22:53:14] train_sl  23/10/18 22:41:20 DEBUG: Subset indices length: 4503
[10/18 22:53:14] train_sl  23/10/18 22:41:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/18 22:53:14] train_sl  23/10/18 22:41:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4503
[10/18 22:53:14] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 50, finished reading dataloader. 
[10/18 22:53:18] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 51, reading dataloader... 
[10/18 22:53:18] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 51, finished reading dataloader. 
[10/18 22:53:21] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 52, reading dataloader... 
[10/18 22:53:21] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 52, finished reading dataloader. 
[10/18 22:53:25] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 53, reading dataloader... 
[10/18 22:53:25] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 53, finished reading dataloader. 
[10/18 22:53:28] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 54, reading dataloader... 
[10/18 22:53:28] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 54, finished reading dataloader. 
[10/18 22:53:32] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 55, reading dataloader... 
[10/18 22:53:32] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 55, finished reading dataloader. 
[10/18 22:53:36] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 56, reading dataloader... 
[10/18 22:53:36] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 56, finished reading dataloader. 
[10/18 22:53:39] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 57, reading dataloader... 
[10/18 22:53:39] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 57, finished reading dataloader. 
[10/18 22:53:43] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 58, reading dataloader... 
[10/18 22:53:43] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 58, finished reading dataloader. 
[10/18 22:53:47] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 59, reading dataloader... 
[10/18 22:53:47] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 59, finished reading dataloader. 
[10/18 22:53:51] train_sl  23/10/18 22:41:20 INFO: Model checkpoint saved at epoch: 60
[10/18 22:54:20] train_sl  23/10/18 22:41:20 INFO: Epoch: 60 , Training Loss: 0.06485912441677517 , Training Accuracy: 0.5528444444444445 , Validation Loss: 0.067020703125 , Validation Accuracy: 0.5372 , Test Loss: 0.06638374328613281 , Test Accuracy: 0.5519 , Best Accuracy: 0.6033 , Timing: 568.3056316375732
[10/18 22:54:20] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 60, reading dataloader... 
[10/18 22:54:20] train_sl  23/10/18 22:41:20 INFO: Epoch: 60, requires subset selection. 
[10/18 22:55:37] train_sl  23/10/18 22:41:20 DEBUG: CRAIG strategy data selection time is: 76.8558
[10/18 22:55:37] train_sl  23/10/18 22:41:20 INFO: Epoch: 60, subset selection finished, takes 76.9015. 
[10/18 22:55:37] train_sl  23/10/18 22:41:20 DEBUG: Subset indices length: 4503
[10/18 22:55:37] train_sl  23/10/18 22:41:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/18 22:55:37] train_sl  23/10/18 22:41:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4503
[10/18 22:55:37] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 60, finished reading dataloader. 
[10/18 22:55:41] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 61, reading dataloader... 
[10/18 22:55:41] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 61, finished reading dataloader. 
[10/18 22:55:45] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 62, reading dataloader... 
[10/18 22:55:45] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 62, finished reading dataloader. 
[10/18 22:55:48] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 63, reading dataloader... 
[10/18 22:55:48] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 63, finished reading dataloader. 
[10/18 22:55:52] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 64, reading dataloader... 
[10/18 22:55:52] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 64, finished reading dataloader. 
[10/18 22:55:56] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 65, reading dataloader... 
[10/18 22:55:56] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 65, finished reading dataloader. 
[10/18 22:56:00] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 66, reading dataloader... 
[10/18 22:56:00] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 66, finished reading dataloader. 
[10/18 22:56:03] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 67, reading dataloader... 
[10/18 22:56:03] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 67, finished reading dataloader. 
[10/18 22:56:07] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 68, reading dataloader... 
[10/18 22:56:07] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 68, finished reading dataloader. 
[10/18 22:56:11] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 69, reading dataloader... 
[10/18 22:56:11] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 69, finished reading dataloader. 
[10/18 22:56:44] train_sl  23/10/18 22:41:20 INFO: Epoch: 70 , Training Loss: 0.04880660485161675 , Training Accuracy: 0.6769333333333334 , Validation Loss: 0.049990818786621094 , Validation Accuracy: 0.6676 , Test Loss: 0.050801691436767576 , Test Accuracy: 0.6796 , Best Accuracy: 0.6796 , Timing: 682.4971585273743
[10/18 22:56:44] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 70, reading dataloader... 
[10/18 22:56:44] train_sl  23/10/18 22:41:20 INFO: Epoch: 70, requires subset selection. 
[10/18 22:57:52] train_sl  23/10/18 22:41:20 DEBUG: CRAIG strategy data selection time is: 68.2959
[10/18 22:57:52] train_sl  23/10/18 22:41:20 INFO: Epoch: 70, subset selection finished, takes 68.3265. 
[10/18 22:57:52] train_sl  23/10/18 22:41:20 DEBUG: Subset indices length: 4503
[10/18 22:57:52] train_sl  23/10/18 22:41:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/18 22:57:52] train_sl  23/10/18 22:41:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4503
[10/18 22:57:52] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 70, finished reading dataloader. 
[10/18 22:57:56] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 71, reading dataloader... 
[10/18 22:57:56] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 71, finished reading dataloader. 
[10/18 22:58:00] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 72, reading dataloader... 
[10/18 22:58:00] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 72, finished reading dataloader. 
[10/18 22:58:03] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 73, reading dataloader... 
[10/18 22:58:03] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 73, finished reading dataloader. 
[10/18 22:58:07] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 74, reading dataloader... 
[10/18 22:58:07] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 74, finished reading dataloader. 
[10/18 22:58:10] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 75, reading dataloader... 
[10/18 22:58:10] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 75, finished reading dataloader. 
[10/18 22:58:14] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 76, reading dataloader... 
[10/18 22:58:14] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 76, finished reading dataloader. 
[10/18 22:58:17] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 77, reading dataloader... 
[10/18 22:58:17] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 77, finished reading dataloader. 
[10/18 22:58:21] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 78, reading dataloader... 
[10/18 22:58:21] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 78, finished reading dataloader. 
[10/18 22:58:25] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 79, reading dataloader... 
[10/18 22:58:25] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 79, finished reading dataloader. 
[10/18 22:58:30] train_sl  23/10/18 22:41:20 INFO: Model checkpoint saved at epoch: 80
[10/18 22:58:59] train_sl  23/10/18 22:41:20 INFO: Epoch: 80 , Training Loss: 0.05423581136067708 , Training Accuracy: 0.6386888888888889 , Validation Loss: 0.055601971435546876 , Validation Accuracy: 0.6354 , Test Loss: 0.059235684204101566 , Test Accuracy: 0.6246 , Best Accuracy: 0.6796 , Timing: 787.5029242038727
[10/18 22:58:59] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 80, reading dataloader... 
[10/18 22:58:59] train_sl  23/10/18 22:41:20 INFO: Epoch: 80, requires subset selection. 
[10/18 23:00:07] train_sl  23/10/18 22:41:20 DEBUG: CRAIG strategy data selection time is: 68.1957
[10/18 23:00:07] train_sl  23/10/18 22:41:20 INFO: Epoch: 80, subset selection finished, takes 68.2262. 
[10/18 23:00:07] train_sl  23/10/18 22:41:20 DEBUG: Subset indices length: 4503
[10/18 23:00:07] train_sl  23/10/18 22:41:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/18 23:00:07] train_sl  23/10/18 22:41:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4503
[10/18 23:00:07] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 80, finished reading dataloader. 
[10/18 23:00:11] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 81, reading dataloader... 
[10/18 23:00:11] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 81, finished reading dataloader. 
[10/18 23:00:14] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 82, reading dataloader... 
[10/18 23:00:14] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 82, finished reading dataloader. 
[10/18 23:00:18] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 83, reading dataloader... 
[10/18 23:00:18] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 83, finished reading dataloader. 
[10/18 23:00:22] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 84, reading dataloader... 
[10/18 23:00:22] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 84, finished reading dataloader. 
[10/18 23:00:26] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 85, reading dataloader... 
[10/18 23:00:26] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 85, finished reading dataloader. 
[10/18 23:00:29] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 86, reading dataloader... 
[10/18 23:00:29] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 86, finished reading dataloader. 
[10/18 23:00:33] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 87, reading dataloader... 
[10/18 23:00:33] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 87, finished reading dataloader. 
[10/18 23:00:37] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 88, reading dataloader... 
[10/18 23:00:37] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 88, finished reading dataloader. 
[10/18 23:00:40] train_sl  23/10/18 22:41:20 DEBUG: Epoch: 89, reading dataloader... 
