[10/30 13:40:25] train_sl  23/10/30 13:40:20 INFO: Submodular dataloader initialized. 
[10/30 13:44:27] train_sl  23/10/30 13:40:20 INFO: Epoch: 10, subset selection finished, takes 116.4314. 
[10/30 13:44:27] train_sl  23/10/30 13:40:20 DEBUG: Subset indices length: 4500
[10/30 13:44:27] train_sl  23/10/30 13:40:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/30 13:44:27] train_sl  23/10/30 13:40:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[10/30 13:44:27] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 10, finished reading dataloader. 
[10/30 13:44:32] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 11, reading dataloader... 
[10/30 13:44:32] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 11, finished reading dataloader. 
[10/30 13:44:36] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 12, reading dataloader... 
[10/30 13:44:36] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 12, finished reading dataloader. 
[10/30 13:44:41] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 13, reading dataloader... 
[10/30 13:44:41] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 13, finished reading dataloader. 
[10/30 13:44:46] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 14, reading dataloader... 
[10/30 13:44:46] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 14, finished reading dataloader. 
[10/30 13:44:51] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 15, reading dataloader... 
[10/30 13:44:51] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 15, finished reading dataloader. 
[10/30 13:44:55] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 16, reading dataloader... 
[10/30 13:44:55] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 16, finished reading dataloader. 
[10/30 13:45:00] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 17, reading dataloader... 
[10/30 13:45:00] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 17, finished reading dataloader. 
[10/30 13:45:03] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 18, reading dataloader... 
[10/30 13:45:03] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 18, finished reading dataloader. 
[10/30 13:45:08] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 19, reading dataloader... 
[10/30 13:45:08] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 19, finished reading dataloader. 
[10/30 13:45:13] train_sl  23/10/30 13:40:20 INFO: Model checkpoint saved at epoch: 20
[10/30 13:45:51] train_sl  23/10/30 13:40:20 INFO: Epoch: 20 , Training Loss: 0.08141185472276476 , Training Accuracy: 0.5190666666666667 , Test Loss: 0.09218379211425781 , Test Accuracy: 0.5059 , Best Accuracy: 0.5059 , Timing: 211.1550498008728
[10/30 13:45:51] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 20, reading dataloader... 
[10/30 13:45:51] train_sl  23/10/30 13:40:20 INFO: Epoch: 20, requires subset selection. 
[10/30 13:47:46] train_sl  23/10/30 13:40:20 DEBUG: Submodular strategy data selection time is: 114.7821
[10/30 13:47:47] train_sl  23/10/30 13:40:20 INFO: Epoch: 20, subset selection finished, takes 115.5356. 
[10/30 13:47:47] train_sl  23/10/30 13:40:20 DEBUG: Subset indices length: 4500
[10/30 13:47:47] train_sl  23/10/30 13:40:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/30 13:47:47] train_sl  23/10/30 13:40:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[10/30 13:47:47] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 20, finished reading dataloader. 
[10/30 13:47:52] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 21, reading dataloader... 
[10/30 13:47:52] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 21, finished reading dataloader. 
[10/30 13:47:57] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 22, reading dataloader... 
[10/30 13:47:57] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 22, finished reading dataloader. 
[10/30 13:48:02] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 23, reading dataloader... 
[10/30 13:48:02] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 23, finished reading dataloader. 
[10/30 13:48:07] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 24, reading dataloader... 
[10/30 13:48:07] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 24, finished reading dataloader. 
[10/30 13:48:11] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 25, reading dataloader... 
[10/30 13:48:11] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 25, finished reading dataloader. 
[10/30 13:48:16] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 26, reading dataloader... 
[10/30 13:48:16] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 26, finished reading dataloader. 
[10/30 13:48:21] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 27, reading dataloader... 
[10/30 13:48:21] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 27, finished reading dataloader. 
[10/30 13:48:26] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 28, reading dataloader... 
[10/30 13:48:26] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 28, finished reading dataloader. 
[10/30 13:48:31] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 29, reading dataloader... 
[10/30 13:48:31] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 29, finished reading dataloader. 
[10/30 13:49:13] train_sl  23/10/30 13:40:20 INFO: Epoch: 30 , Training Loss: 0.052357865566677514 , Training Accuracy: 0.6662888888888889 , Test Loss: 0.05633373718261719 , Test Accuracy: 0.6676 , Best Accuracy: 0.6676 , Timing: 375.5602979660034
[10/30 13:49:13] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 30, reading dataloader... 
[10/30 13:49:13] train_sl  23/10/30 13:40:20 INFO: Epoch: 30, requires subset selection. 
[10/30 13:51:02] train_sl  23/10/30 13:40:20 DEBUG: Submodular strategy data selection time is: 108.9355
[10/30 13:51:03] train_sl  23/10/30 13:40:20 INFO: Epoch: 30, subset selection finished, takes 109.7157. 
[10/30 13:51:03] train_sl  23/10/30 13:40:20 DEBUG: Subset indices length: 4500
[10/30 13:51:03] train_sl  23/10/30 13:40:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/30 13:51:03] train_sl  23/10/30 13:40:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[10/30 13:51:03] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 30, finished reading dataloader. 
[10/30 13:51:08] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 31, reading dataloader... 
[10/30 13:51:08] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 31, finished reading dataloader. 
[10/30 13:51:13] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 32, reading dataloader... 
[10/30 13:51:13] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 32, finished reading dataloader. 
[10/30 13:51:17] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 33, reading dataloader... 
[10/30 13:51:17] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 33, finished reading dataloader. 
[10/30 13:51:22] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 34, reading dataloader... 
[10/30 13:51:22] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 34, finished reading dataloader. 
[10/30 13:51:27] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 35, reading dataloader... 
[10/30 13:51:27] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 35, finished reading dataloader. 
[10/30 13:51:32] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 36, reading dataloader... 
[10/30 13:51:32] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 36, finished reading dataloader. 
[10/30 13:51:37] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 37, reading dataloader... 
[10/30 13:51:37] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 37, finished reading dataloader. 
[10/30 13:51:41] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 38, reading dataloader... 
[10/30 13:51:41] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 38, finished reading dataloader. 
[10/30 13:51:46] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 39, reading dataloader... 
[10/30 13:51:46] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 39, finished reading dataloader. 
[10/30 13:51:52] train_sl  23/10/30 13:40:20 INFO: Model checkpoint saved at epoch: 40
[10/30 13:52:29] train_sl  23/10/30 13:40:20 INFO: Epoch: 40 , Training Loss: 0.04222239261203342 , Training Accuracy: 0.7306888888888889 , Test Loss: 0.045427056121826175 , Test Accuracy: 0.7269 , Best Accuracy: 0.7269 , Timing: 533.5821659564972
[10/30 13:52:29] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 40, reading dataloader... 
[10/30 13:52:29] train_sl  23/10/30 13:40:20 INFO: Epoch: 40, requires subset selection. 
[10/30 13:54:22] train_sl  23/10/30 13:40:20 DEBUG: Submodular strategy data selection time is: 113.2676
[10/30 13:54:23] train_sl  23/10/30 13:40:20 INFO: Epoch: 40, subset selection finished, takes 114.0418. 
[10/30 13:54:23] train_sl  23/10/30 13:40:20 DEBUG: Subset indices length: 4500
[10/30 13:54:23] train_sl  23/10/30 13:40:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/30 13:54:23] train_sl  23/10/30 13:40:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[10/30 13:54:23] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 40, finished reading dataloader. 
[10/30 13:54:28] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 41, reading dataloader... 
[10/30 13:54:28] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 41, finished reading dataloader. 
[10/30 13:54:33] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 42, reading dataloader... 
[10/30 13:54:33] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 42, finished reading dataloader. 
[10/30 13:54:37] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 43, reading dataloader... 
[10/30 13:54:37] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 43, finished reading dataloader. 
[10/30 13:54:42] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 44, reading dataloader... 
[10/30 13:54:42] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 44, finished reading dataloader. 
[10/30 13:54:47] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 45, reading dataloader... 
[10/30 13:54:47] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 45, finished reading dataloader. 
[10/30 13:54:52] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 46, reading dataloader... 
[10/30 13:54:52] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 46, finished reading dataloader. 
[10/30 13:54:57] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 47, reading dataloader... 
[10/30 13:54:57] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 47, finished reading dataloader. 
[10/30 13:55:02] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 48, reading dataloader... 
[10/30 13:55:02] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 48, finished reading dataloader. 
[10/30 13:55:07] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 49, reading dataloader... 
[10/30 13:55:07] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 49, finished reading dataloader. 
[10/30 13:55:46] train_sl  23/10/30 13:40:20 INFO: Epoch: 50 , Training Loss: 0.04889382714165581 , Training Accuracy: 0.7124 , Test Loss: 0.05588003234863281 , Test Accuracy: 0.698 , Best Accuracy: 0.7269 , Timing: 695.5874750614166
[10/30 13:55:46] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 50, reading dataloader... 
[10/30 13:55:46] train_sl  23/10/30 13:40:20 INFO: Epoch: 50, requires subset selection. 
[10/30 13:57:40] train_sl  23/10/30 13:40:20 DEBUG: Submodular strategy data selection time is: 114.2659
[10/30 13:57:41] train_sl  23/10/30 13:40:20 INFO: Epoch: 50, subset selection finished, takes 115.0299. 
[10/30 13:57:41] train_sl  23/10/30 13:40:20 DEBUG: Subset indices length: 4500
[10/30 13:57:41] train_sl  23/10/30 13:40:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/30 13:57:41] train_sl  23/10/30 13:40:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[10/30 13:57:41] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 50, finished reading dataloader. 
[10/30 13:57:46] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 51, reading dataloader... 
[10/30 13:57:46] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 51, finished reading dataloader. 
[10/30 13:57:51] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 52, reading dataloader... 
[10/30 13:57:51] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 52, finished reading dataloader. 
[10/30 13:57:55] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 53, reading dataloader... 
[10/30 13:57:55] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 53, finished reading dataloader. 
[10/30 13:58:00] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 54, reading dataloader... 
[10/30 13:58:00] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 54, finished reading dataloader. 
[10/30 13:58:05] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 55, reading dataloader... 
[10/30 13:58:05] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 55, finished reading dataloader. 
[10/30 13:58:10] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 56, reading dataloader... 
[10/30 13:58:10] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 56, finished reading dataloader. 
[10/30 13:58:15] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 57, reading dataloader... 
[10/30 13:58:15] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 57, finished reading dataloader. 
[10/30 13:58:20] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 58, reading dataloader... 
[10/30 13:58:20] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 58, finished reading dataloader. 
[10/30 13:58:25] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 59, reading dataloader... 
[10/30 13:58:25] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 59, finished reading dataloader. 
[10/30 13:58:30] train_sl  23/10/30 13:40:20 INFO: Model checkpoint saved at epoch: 60
[10/30 13:59:07] train_sl  23/10/30 13:40:20 INFO: Epoch: 60 , Training Loss: 0.038331426832411024 , Training Accuracy: 0.7762 , Test Loss: 0.04571278762817383 , Test Accuracy: 0.7535 , Best Accuracy: 0.7535 , Timing: 858.9150989055634
[10/30 13:59:07] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 60, reading dataloader... 
[10/30 13:59:07] train_sl  23/10/30 13:40:20 INFO: Epoch: 60, requires subset selection. 
[10/30 14:00:56] train_sl  23/10/30 13:40:20 DEBUG: Submodular strategy data selection time is: 109.5345
[10/30 14:00:57] train_sl  23/10/30 13:40:20 INFO: Epoch: 60, subset selection finished, takes 110.2504. 
[10/30 14:00:57] train_sl  23/10/30 13:40:20 DEBUG: Subset indices length: 4500
[10/30 14:00:57] train_sl  23/10/30 13:40:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/30 14:00:57] train_sl  23/10/30 13:40:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[10/30 14:00:57] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 60, finished reading dataloader. 
[10/30 14:01:02] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 61, reading dataloader... 
[10/30 14:01:02] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 61, finished reading dataloader. 
[10/30 14:01:07] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 62, reading dataloader... 
[10/30 14:01:07] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 62, finished reading dataloader. 
[10/30 14:01:12] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 63, reading dataloader... 
[10/30 14:01:12] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 63, finished reading dataloader. 
[10/30 14:01:17] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 64, reading dataloader... 
[10/30 14:01:17] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 64, finished reading dataloader. 
[10/30 14:01:22] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 65, reading dataloader... 
[10/30 14:01:22] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 65, finished reading dataloader. 
[10/30 14:01:27] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 66, reading dataloader... 
[10/30 14:01:27] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 66, finished reading dataloader. 
[10/30 14:01:31] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 67, reading dataloader... 
[10/30 14:01:31] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 67, finished reading dataloader. 
[10/30 14:01:36] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 68, reading dataloader... 
[10/30 14:01:36] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 68, finished reading dataloader. 
[10/30 14:01:41] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 69, reading dataloader... 
[10/30 14:01:41] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 69, finished reading dataloader. 
[10/30 14:02:24] train_sl  23/10/30 13:40:20 INFO: Epoch: 70 , Training Loss: 0.0316620610555013 , Training Accuracy: 0.8099555555555555 , Test Loss: 0.038274007415771485 , Test Accuracy: 0.7956 , Best Accuracy: 0.7956 , Timing: 1018.1650989055634
[10/30 14:02:24] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 70, reading dataloader... 
[10/30 14:02:24] train_sl  23/10/30 13:40:20 INFO: Epoch: 70, requires subset selection. 
[10/30 14:04:19] train_sl  23/10/30 13:40:20 DEBUG: Submodular strategy data selection time is: 115.7426
[10/30 14:04:20] train_sl  23/10/30 13:40:20 INFO: Epoch: 70, subset selection finished, takes 116.5461. 
[10/30 14:04:20] train_sl  23/10/30 13:40:20 DEBUG: Subset indices length: 4500
[10/30 14:04:20] train_sl  23/10/30 13:40:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/30 14:04:20] train_sl  23/10/30 13:40:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[10/30 14:04:20] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 70, finished reading dataloader. 
[10/30 14:04:25] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 71, reading dataloader... 
[10/30 14:04:25] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 71, finished reading dataloader. 
[10/30 14:04:30] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 72, reading dataloader... 
[10/30 14:04:30] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 72, finished reading dataloader. 
[10/30 14:04:35] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 73, reading dataloader... 
[10/30 14:04:35] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 73, finished reading dataloader. 
[10/30 14:04:40] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 74, reading dataloader... 
[10/30 14:04:40] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 74, finished reading dataloader. 
[10/30 14:04:44] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 75, reading dataloader... 
[10/30 14:04:44] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 75, finished reading dataloader. 
[10/30 14:04:49] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 76, reading dataloader... 
[10/30 14:04:49] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 76, finished reading dataloader. 
[10/30 14:04:54] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 77, reading dataloader... 
[10/30 14:04:54] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 77, finished reading dataloader. 
[10/30 14:04:59] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 78, reading dataloader... 
[10/30 14:04:59] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 78, finished reading dataloader. 
[10/30 14:05:04] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 79, reading dataloader... 
[10/30 14:05:04] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 79, finished reading dataloader. 
[10/30 14:05:09] train_sl  23/10/30 13:40:20 INFO: Model checkpoint saved at epoch: 80
[10/30 14:05:43] train_sl  23/10/30 13:40:20 INFO: Epoch: 80 , Training Loss: 0.029423101467556424 , Training Accuracy: 0.8272666666666667 , Test Loss: 0.0387339599609375 , Test Accuracy: 0.7948 , Best Accuracy: 0.7956 , Timing: 1182.9876420497894
[10/30 14:05:43] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 80, reading dataloader... 
[10/30 14:05:43] train_sl  23/10/30 13:40:20 INFO: Epoch: 80, requires subset selection. 
[10/30 14:07:40] train_sl  23/10/30 13:40:20 DEBUG: Submodular strategy data selection time is: 116.4342
[10/30 14:07:41] train_sl  23/10/30 13:40:20 INFO: Epoch: 80, subset selection finished, takes 117.2524. 
[10/30 14:07:41] train_sl  23/10/30 13:40:20 DEBUG: Subset indices length: 4500
[10/30 14:07:41] train_sl  23/10/30 13:40:20 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[10/30 14:07:41] train_sl  23/10/30 13:40:20 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[10/30 14:07:41] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 80, finished reading dataloader. 
[10/30 14:07:46] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 81, reading dataloader... 
[10/30 14:07:46] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 81, finished reading dataloader. 
[10/30 14:07:51] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 82, reading dataloader... 
[10/30 14:07:51] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 82, finished reading dataloader. 
[10/30 14:07:55] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 83, reading dataloader... 
[10/30 14:07:55] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 83, finished reading dataloader. 
[10/30 14:08:00] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 84, reading dataloader... 
[10/30 14:08:00] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 84, finished reading dataloader. 
[10/30 14:08:05] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 85, reading dataloader... 
[10/30 14:08:05] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 85, finished reading dataloader. 
[10/30 14:08:10] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 86, reading dataloader... 
[10/30 14:08:10] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 86, finished reading dataloader. 
[10/30 14:08:15] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 87, reading dataloader... 
[10/30 14:08:15] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 87, finished reading dataloader. 
[10/30 14:08:19] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 88, reading dataloader... 
[10/30 14:08:19] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 88, finished reading dataloader. 
[10/30 14:08:24] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 89, reading dataloader... 
[10/30 14:08:24] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 89, finished reading dataloader. 
[10/30 14:09:06] train_sl  23/10/30 13:40:20 INFO: Epoch: 90 , Training Loss: 0.029459381442599828 , Training Accuracy: 0.8305333333333333 , Test Loss: 0.039249849700927736 , Test Accuracy: 0.7986 , Best Accuracy: 0.7986 , Timing: 1348.4196417331696
[10/30 14:09:06] train_sl  23/10/30 13:40:20 DEBUG: Epoch: 90, reading dataloader... 
[10/30 14:09:06] train_sl  23/10/30 13:40:20 INFO: Epoch: 90, requires subset selection. 
