[02/15 08:37:21] train_sl  24/02/15 08:37:16 DEBUG: Glister dataloader initialized. 
[02/15 08:38:23] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 8, finished reading dataloader. 
[02/15 08:38:26] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 9, reading dataloader... 
[02/15 08:38:26] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 9, finished reading dataloader. 
[02/15 08:39:01] train_sl  24/02/15 08:37:16 INFO: Epoch: 10 , Training Loss: 0.10425499030219185 , Training Accuracy: 0.3511111111111111 , Validation Loss: 0.10379710693359374 , Validation Accuracy: 0.3506 , Test Loss: 0.10847532958984375 , Test Accuracy: 0.3552 , Best Accuracy: 0.3552 , Timing: 35.82323932647705
[02/15 08:39:01] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 10, reading dataloader... 
[02/15 08:39:01] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 10, requires subset selection. 
[02/15 08:39:33] train_sl  24/02/15 08:37:16 DEBUG: Stochastic Greedy GLISTER total time: 6.6511
[02/15 08:39:33] train_sl  24/02/15 08:37:16 DEBUG: GLISTER algorithm Subset Selection time is: 31.8649
[02/15 08:39:33] train_sl  24/02/15 08:37:16 INFO: Epoch: 10, GLISTER dataloader subset selection finished, takes 31.8971. 
[02/15 08:39:33] train_sl  24/02/15 08:37:16 DEBUG: Subset indices length: 4500
[02/15 08:39:33] train_sl  24/02/15 08:37:16 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[02/15 08:39:33] train_sl  24/02/15 08:37:16 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[02/15 08:39:33] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 10, finished reading dataloader. 
[02/15 08:39:37] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 11, reading dataloader... 
[02/15 08:39:37] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 11, finished reading dataloader. 
[02/15 08:39:40] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 12, reading dataloader... 
[02/15 08:39:40] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 12, finished reading dataloader. 
[02/15 08:39:44] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 13, reading dataloader... 
[02/15 08:39:44] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 13, finished reading dataloader. 
[02/15 08:39:48] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 14, reading dataloader... 
[02/15 08:39:48] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 14, finished reading dataloader. 
[02/15 08:39:51] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 15, reading dataloader... 
[02/15 08:39:51] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 15, finished reading dataloader. 
[02/15 08:39:55] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 16, reading dataloader... 
[02/15 08:39:55] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 16, finished reading dataloader. 
[02/15 08:39:59] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 17, reading dataloader... 
[02/15 08:39:59] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 17, finished reading dataloader. 
[02/15 08:40:02] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 18, reading dataloader... 
[02/15 08:40:02] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 18, finished reading dataloader. 
[02/15 08:40:06] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 19, reading dataloader... 
[02/15 08:40:06] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 19, finished reading dataloader. 
[02/15 08:40:10] train_sl  24/02/15 08:37:16 INFO: Model checkpoint saved at epoch: 20
[02/15 08:40:41] train_sl  24/02/15 08:37:16 INFO: Epoch: 20 , Training Loss: 0.09136583658854167 , Training Accuracy: 0.432 , Validation Loss: 0.09335974731445312 , Validation Accuracy: 0.4228 , Test Loss: 0.0940150131225586 , Test Accuracy: 0.4339 , Best Accuracy: 0.4339 , Timing: 104.65479326248169
[02/15 08:40:41] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 20, reading dataloader... 
[02/15 08:40:41] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 20, requires subset selection. 
[02/15 08:41:13] train_sl  24/02/15 08:37:16 DEBUG: Stochastic Greedy GLISTER total time: 6.4155
[02/15 08:41:13] train_sl  24/02/15 08:37:16 DEBUG: GLISTER algorithm Subset Selection time is: 31.3304
[02/15 08:41:13] train_sl  24/02/15 08:37:16 INFO: Epoch: 20, GLISTER dataloader subset selection finished, takes 31.3605. 
[02/15 08:41:13] train_sl  24/02/15 08:37:16 DEBUG: Subset indices length: 4500
[02/15 08:41:13] train_sl  24/02/15 08:37:16 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[02/15 08:41:13] train_sl  24/02/15 08:37:16 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[02/15 08:41:13] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 20, finished reading dataloader. 
[02/15 08:41:16] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 21, reading dataloader... 
[02/15 08:41:16] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 21, finished reading dataloader. 
[02/15 08:41:20] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 22, reading dataloader... 
[02/15 08:41:20] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 22, finished reading dataloader. 
[02/15 08:41:23] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 23, reading dataloader... 
[02/15 08:41:23] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 23, finished reading dataloader. 
[02/15 08:41:27] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 24, reading dataloader... 
[02/15 08:41:27] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 24, finished reading dataloader. 
[02/15 08:41:30] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 25, reading dataloader... 
[02/15 08:41:30] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 25, finished reading dataloader. 
[02/15 08:41:33] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 26, reading dataloader... 
[02/15 08:41:33] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 26, finished reading dataloader. 
[02/15 08:41:37] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 27, reading dataloader... 
[02/15 08:41:37] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 27, finished reading dataloader. 
[02/15 08:41:40] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 28, reading dataloader... 
[02/15 08:41:40] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 28, finished reading dataloader. 
[02/15 08:41:44] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 29, reading dataloader... 
[02/15 08:41:44] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 29, finished reading dataloader. 
[02/15 08:42:14] train_sl  24/02/15 08:37:16 INFO: Epoch: 30 , Training Loss: 0.06773370225694444 , Training Accuracy: 0.5540888888888889 , Validation Loss: 0.06980087890625 , Validation Accuracy: 0.5382 , Test Loss: 0.07334447174072266 , Test Accuracy: 0.5469 , Best Accuracy: 0.5469 , Timing: 170.41924166679382
[02/15 08:42:14] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 30, reading dataloader... 
[02/15 08:42:14] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 30, requires subset selection. 
[02/15 08:42:42] train_sl  24/02/15 08:37:16 DEBUG: Stochastic Greedy GLISTER total time: 6.0010
[02/15 08:42:42] train_sl  24/02/15 08:37:16 DEBUG: GLISTER algorithm Subset Selection time is: 27.4798
[02/15 08:42:42] train_sl  24/02/15 08:37:16 INFO: Epoch: 30, GLISTER dataloader subset selection finished, takes 27.5053. 
[02/15 08:42:42] train_sl  24/02/15 08:37:16 DEBUG: Subset indices length: 4500
[02/15 08:42:42] train_sl  24/02/15 08:37:16 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[02/15 08:42:42] train_sl  24/02/15 08:37:16 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[02/15 08:42:42] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 30, finished reading dataloader. 
[02/15 08:42:45] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 31, reading dataloader... 
[02/15 08:42:45] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 31, finished reading dataloader. 
[02/15 08:42:49] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 32, reading dataloader... 
[02/15 08:42:49] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 32, finished reading dataloader. 
[02/15 08:42:52] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 33, reading dataloader... 
[02/15 08:42:52] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 33, finished reading dataloader. 
[02/15 08:42:56] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 34, reading dataloader... 
[02/15 08:42:56] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 34, finished reading dataloader. 
[02/15 08:42:59] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 35, reading dataloader... 
[02/15 08:42:59] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 35, finished reading dataloader. 
[02/15 08:43:03] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 36, reading dataloader... 
[02/15 08:43:03] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 36, finished reading dataloader. 
[02/15 08:43:06] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 37, reading dataloader... 
[02/15 08:43:06] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 37, finished reading dataloader. 
[02/15 08:43:10] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 38, reading dataloader... 
[02/15 08:43:10] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 38, finished reading dataloader. 
[02/15 08:43:13] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 39, reading dataloader... 
[02/15 08:43:13] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 39, finished reading dataloader. 
[02/15 08:43:17] train_sl  24/02/15 08:37:16 INFO: Model checkpoint saved at epoch: 40
[02/15 08:43:45] train_sl  24/02/15 08:37:16 INFO: Epoch: 40 , Training Loss: 0.06952251892089843 , Training Accuracy: 0.5810888888888889 , Validation Loss: 0.07089282531738281 , Validation Accuracy: 0.5714 , Test Loss: 0.07703628540039062 , Test Accuracy: 0.5764 , Best Accuracy: 0.5764 , Timing: 232.9548008441925
[02/15 08:43:45] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 40, reading dataloader... 
[02/15 08:43:45] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 40, requires subset selection. 
[02/15 08:44:13] train_sl  24/02/15 08:37:16 DEBUG: Stochastic Greedy GLISTER total time: 6.3590
[02/15 08:44:13] train_sl  24/02/15 08:37:16 DEBUG: GLISTER algorithm Subset Selection time is: 27.8562
[02/15 08:44:13] train_sl  24/02/15 08:37:16 INFO: Epoch: 40, GLISTER dataloader subset selection finished, takes 27.8821. 
[02/15 08:44:13] train_sl  24/02/15 08:37:16 DEBUG: Subset indices length: 4500
[02/15 08:44:13] train_sl  24/02/15 08:37:16 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[02/15 08:44:13] train_sl  24/02/15 08:37:16 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[02/15 08:44:13] train_sl  24/02/15 08:37:16 DEBUG: Epoch: 40, finished reading dataloader. 
