[07/03 08:04:23] train_sl  23/07/03 08:04:15 DEBUG: Glister dataloader initialized. 
[07/03 08:10:04] train_sl  23/07/03 08:04:15 INFO: Epoch: 40, GLISTER dataloader subset selection finished, takes 19.9875. 
[07/03 08:10:04] train_sl  23/07/03 08:04:15 DEBUG: Subset indices length: 4500
[07/03 08:10:04] train_sl  23/07/03 08:04:15 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[07/03 08:10:04] train_sl  23/07/03 08:04:15 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[07/03 08:10:04] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 40, finished reading dataloader. 
[07/03 08:10:08] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 41, reading dataloader... 
[07/03 08:10:08] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 41, finished reading dataloader. 
[07/03 08:10:12] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 42, reading dataloader... 
[07/03 08:10:12] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 42, finished reading dataloader. 
[07/03 08:10:16] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 43, reading dataloader... 
[07/03 08:10:16] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 43, finished reading dataloader. 
[07/03 08:10:20] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 44, reading dataloader... 
[07/03 08:10:20] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 44, finished reading dataloader. 
[07/03 08:10:24] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 45, reading dataloader... 
[07/03 08:10:24] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 45, finished reading dataloader. 
[07/03 08:10:28] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 46, reading dataloader... 
[07/03 08:10:28] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 46, finished reading dataloader. 
[07/03 08:10:32] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 47, reading dataloader... 
[07/03 08:10:32] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 47, finished reading dataloader. 
[07/03 08:10:35] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 48, reading dataloader... 
[07/03 08:10:35] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 48, finished reading dataloader. 
[07/03 08:10:39] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 49, reading dataloader... 
[07/03 08:10:39] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 49, finished reading dataloader. 
[07/03 08:11:04] train_sl  23/07/03 08:04:15 INFO: Epoch: 50 , Training Loss: 0.10657603149414062 , Training Accuracy: 0.29684444444444447 , Validation Loss: 0.10724918212890625 , Validation Accuracy: 0.29 , Test Loss: 0.09462995910644531 , Test Accuracy: 0.3883 , Best Accuracy: 0.3883 , Timing: 275.7229652404785
[07/03 08:11:04] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 50, reading dataloader... 
[07/03 08:11:04] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 50, requires subset selection. 
[07/03 08:11:24] train_sl  23/07/03 08:04:15 DEBUG: Stochastic Greedy GLISTER total time: 5.8775
[07/03 08:11:24] train_sl  23/07/03 08:04:15 DEBUG: GLISTER algorithm Subset Selection time is: 20.2807
[07/03 08:11:24] train_sl  23/07/03 08:04:15 INFO: Epoch: 50, GLISTER dataloader subset selection finished, takes 20.2988. 
[07/03 08:11:24] train_sl  23/07/03 08:04:15 DEBUG: Subset indices length: 4500
[07/03 08:11:24] train_sl  23/07/03 08:04:15 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[07/03 08:11:24] train_sl  23/07/03 08:04:15 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[07/03 08:11:24] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 50, finished reading dataloader. 
[07/03 08:11:28] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 51, reading dataloader... 
[07/03 08:11:28] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 51, finished reading dataloader. 
[07/03 08:11:32] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 52, reading dataloader... 
[07/03 08:11:32] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 52, finished reading dataloader. 
[07/03 08:11:36] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 53, reading dataloader... 
[07/03 08:11:36] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 53, finished reading dataloader. 
[07/03 08:11:40] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 54, reading dataloader... 
[07/03 08:11:40] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 54, finished reading dataloader. 
[07/03 08:11:44] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 55, reading dataloader... 
[07/03 08:11:44] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 55, finished reading dataloader. 
[07/03 08:11:48] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 56, reading dataloader... 
[07/03 08:11:48] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 56, finished reading dataloader. 
[07/03 08:11:51] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 57, reading dataloader... 
[07/03 08:11:51] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 57, finished reading dataloader. 
[07/03 08:11:55] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 58, reading dataloader... 
[07/03 08:11:55] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 58, finished reading dataloader. 
[07/03 08:11:59] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 59, reading dataloader... 
[07/03 08:11:59] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 59, finished reading dataloader. 
[07/03 08:12:03] train_sl  23/07/03 08:04:15 INFO: Model checkpoint saved at epoch: 60
[07/03 08:12:24] train_sl  23/07/03 08:04:15 INFO: Epoch: 60 , Training Loss: 0.11393865966796875 , Training Accuracy: 0.2673111111111111 , Validation Loss: 0.11387246704101563 , Validation Accuracy: 0.2646 , Test Loss: 0.1056047576904297 , Test Accuracy: 0.3232 , Best Accuracy: 0.3883 , Timing: 335.03074741363525
[07/03 08:12:24] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 60, reading dataloader... 
[07/03 08:12:24] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 60, requires subset selection. 
[07/03 08:12:44] train_sl  23/07/03 08:04:15 DEBUG: Stochastic Greedy GLISTER total time: 5.7693
[07/03 08:12:44] train_sl  23/07/03 08:04:15 DEBUG: GLISTER algorithm Subset Selection time is: 20.2188
[07/03 08:12:44] train_sl  23/07/03 08:04:15 INFO: Epoch: 60, GLISTER dataloader subset selection finished, takes 20.2396. 
[07/03 08:12:44] train_sl  23/07/03 08:04:15 DEBUG: Subset indices length: 4500
[07/03 08:12:44] train_sl  23/07/03 08:04:15 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[07/03 08:12:44] train_sl  23/07/03 08:04:15 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[07/03 08:12:44] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 60, finished reading dataloader. 
[07/03 08:12:48] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 61, reading dataloader... 
[07/03 08:12:48] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 61, finished reading dataloader. 
[07/03 08:12:52] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 62, reading dataloader... 
[07/03 08:12:52] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 62, finished reading dataloader. 
[07/03 08:12:56] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 63, reading dataloader... 
[07/03 08:12:56] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 63, finished reading dataloader. 
[07/03 08:13:00] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 64, reading dataloader... 
[07/03 08:13:00] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 64, finished reading dataloader. 
[07/03 08:13:04] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 65, reading dataloader... 
[07/03 08:13:04] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 65, finished reading dataloader. 
[07/03 08:13:08] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 66, reading dataloader... 
[07/03 08:13:08] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 66, finished reading dataloader. 
[07/03 08:13:12] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 67, reading dataloader... 
[07/03 08:13:12] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 67, finished reading dataloader. 
[07/03 08:13:15] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 68, reading dataloader... 
[07/03 08:13:15] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 68, finished reading dataloader. 
[07/03 08:13:19] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 69, reading dataloader... 
[07/03 08:13:19] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 69, finished reading dataloader. 
[07/03 08:13:45] train_sl  23/07/03 08:04:15 INFO: Epoch: 70 , Training Loss: 0.10500426500108508 , Training Accuracy: 0.3383555555555556 , Validation Loss: 0.10616744995117187 , Validation Accuracy: 0.327 , Test Loss: 0.09018018798828124 , Test Accuracy: 0.4301 , Best Accuracy: 0.4301 , Timing: 394.45016980171204
[07/03 08:13:45] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 70, reading dataloader... 
[07/03 08:13:45] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 70, requires subset selection. 
[07/03 08:14:06] train_sl  23/07/03 08:04:15 DEBUG: Stochastic Greedy GLISTER total time: 6.3259
[07/03 08:14:06] train_sl  23/07/03 08:04:15 DEBUG: GLISTER algorithm Subset Selection time is: 20.9471
[07/03 08:14:06] train_sl  23/07/03 08:04:15 INFO: Epoch: 70, GLISTER dataloader subset selection finished, takes 20.9659. 
[07/03 08:14:06] train_sl  23/07/03 08:04:15 DEBUG: Subset indices length: 4500
[07/03 08:14:06] train_sl  23/07/03 08:04:15 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[07/03 08:14:06] train_sl  23/07/03 08:04:15 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[07/03 08:14:06] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 70, finished reading dataloader. 
[07/03 08:14:11] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 71, reading dataloader... 
[07/03 08:14:11] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 71, finished reading dataloader. 
[07/03 08:14:15] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 72, reading dataloader... 
[07/03 08:14:15] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 72, finished reading dataloader. 
[07/03 08:14:19] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 73, reading dataloader... 
[07/03 08:14:19] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 73, finished reading dataloader. 
[07/03 08:14:23] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 74, reading dataloader... 
[07/03 08:14:23] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 74, finished reading dataloader. 
[07/03 08:14:27] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 75, reading dataloader... 
[07/03 08:14:27] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 75, finished reading dataloader. 
[07/03 08:14:31] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 76, reading dataloader... 
[07/03 08:14:31] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 76, finished reading dataloader. 
[07/03 08:14:35] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 77, reading dataloader... 
[07/03 08:14:35] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 77, finished reading dataloader. 
[07/03 08:14:39] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 78, reading dataloader... 
[07/03 08:14:39] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 78, finished reading dataloader. 
[07/03 08:14:43] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 79, reading dataloader... 
[07/03 08:14:43] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 79, finished reading dataloader. 
[07/03 08:14:47] train_sl  23/07/03 08:04:15 INFO: Model checkpoint saved at epoch: 80
[07/03 08:15:07] train_sl  23/07/03 08:04:15 INFO: Epoch: 80 , Training Loss: 0.11350548299153645 , Training Accuracy: 0.28735555555555553 , Validation Loss: 0.11273201904296876 , Validation Accuracy: 0.285 , Test Loss: 0.10396051635742187 , Test Accuracy: 0.3575 , Best Accuracy: 0.4301 , Timing: 455.8761627674103
[07/03 08:15:07] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 80, reading dataloader... 
[07/03 08:15:07] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 80, requires subset selection. 
[07/03 08:15:28] train_sl  23/07/03 08:04:15 DEBUG: Stochastic Greedy GLISTER total time: 5.8884
[07/03 08:15:28] train_sl  23/07/03 08:04:15 DEBUG: GLISTER algorithm Subset Selection time is: 20.3096
[07/03 08:15:28] train_sl  23/07/03 08:04:15 INFO: Epoch: 80, GLISTER dataloader subset selection finished, takes 20.3294. 
[07/03 08:15:28] train_sl  23/07/03 08:04:15 DEBUG: Subset indices length: 4500
[07/03 08:15:28] train_sl  23/07/03 08:04:15 DEBUG: Subset loader initiated, args: (), kwargs: {'batch_size': 128, 'shuffle': True, 'pin_memory': True, 'collate_fn': None}
[07/03 08:15:28] train_sl  23/07/03 08:04:15 DEBUG: Subset selection finished, Training data size: 45000, Subset size: 4500
[07/03 08:15:28] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 80, finished reading dataloader. 
[07/03 08:15:32] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 81, reading dataloader... 
[07/03 08:15:32] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 81, finished reading dataloader. 
[07/03 08:15:36] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 82, reading dataloader... 
[07/03 08:15:36] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 82, finished reading dataloader. 
[07/03 08:15:40] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 83, reading dataloader... 
[07/03 08:15:40] train_sl  23/07/03 08:04:15 DEBUG: Epoch: 83, finished reading dataloader. 
